;stat;mean;std;var;median;min;max
0;alignment;0.6;0.5163977794943222;0.26666666666666666;1.0;0;1
1;armor_class;6.0;0.0;0.0;6.0;6;6
2;carrying_capacity;0.4;0.5163977794943222;0.26666666666666666;0.0;0;1
3;charisma;8.4;1.2649110640673518;1.5999999999999999;8.5;7;11
4;constitution;17.2;1.5491933384829666;2.3999999999999995;17.5;15;20
5;depth;2.0;1.0540925533894598;1.1111111111111112;2.0;1;4
6;dexterity;11.2;2.859681411936962;8.177777777777777;11.5;8;15
7;dungeon_number;0.0;0.0;0.0;0.0;0;0
8;energy;8.3;5.457919831665621;29.788888888888884;5.5;4;22
9;experience_level;3.3;0.9486832980505139;0.9000000000000001;4.0;2;4
10;experience_points;83.2;43.776706134655676;1916.3999999999999;90.5;23;138
11;gold;19.2;9.997777530809312;99.95555555555556;18.0;7;41
12;hitpoints;33.9;9.036346360977735;81.65555555555555;36.0;22;46
13;hunger_state;3.6;1.6465452046971292;2.711111111111111;4.5;1;5
14;intelligence;8.9;1.728840330651992;2.988888888888889;9.0;5;11
15;level_number;2.0;1.0540925533894598;1.1111111111111112;2.0;1;4
16;max_energy;8.3;5.457919831665621;29.788888888888884;5.5;4;22
17;max_hitpoints;34.0;9.189365834726814;84.44444444444443;36.0;22;47
18;monster_level;0.0;0.0;0.0;0.0;0;0
19;prop_mask;192.0;300.1866086286995;90112.00000000001;96.0;0;1024
20;score;405.0;216.3762155752491;46818.666666666664;440.0;105;703
21;strength;18.8;2.8205594401741574;7.955555555555557;20.0;13;22
22;strength_percentage;17.8;1.9888578520235067;3.9555555555555566;19.0;13;19
23;time;2627.4;1545.118060933281;2387389.822222222;2461.0;401;5239
24;wisdom;10.4;2.913569784454954;8.488888888888887;10.0;8;18
25;x;73.9;2.0789954839350244;4.322222222222226;73.5;70;76
26;y;18.5;0.97182531580755;0.9444444444444444;18.0;17;20
