;stat;mean;std;var;median;min;max
0;alignment;0.7634408602150538;0.42727268205916763;0.18256194483403454;1.0;0;1
1;armor_class;6.043010752688172;0.41478067789217005;0.17204301075268813;6.0;6;10
2;carrying_capacity;0.0;0.0;0.0;0.0;0;0
3;charisma;8.75268817204301;1.4115664593272648;1.9925198690977104;9.0;5;13
4;constitution;17.655913978494624;1.618470988416523;2.6194483403459565;18.0;14;20
5;depth;2.3548387096774195;0.9283594844661831;0.8618513323983173;2.0;1;5
6;dexterity;12.451612903225806;1.8327701119643889;3.3590462833099584;12.0;8;16
7;dungeon_number;0.12903225806451613;0.4940033104010914;0.24403927068723705;0.0;0;2
8;energy;4.290322580645161;2.795884573258448;7.816970546984573;4.0;1;13
9;experience_level;2.3870967741935485;1.053279124660696;1.1093969144460023;3.0;1;5
10;experience_points;44.89247311827957;32.79662706861902;1075.6187470780735;42.0;0;178
11;gold;0.0;0.0;0.0;0.0;0;0
12;hitpoints;29.408602150537636;10.363225701383781;107.39644693782138;30.0;16;61
13;hunger_state;2.6021505376344085;1.6093462414652062;2.589995324918186;2.0;1;6
14;intelligence;8.688172043010752;1.2508996295158754;1.5647498831229545;9.0;7;12
15;level_number;2.2903225806451615;0.9158109397792509;0.8387096774193548;2.0;1;5
16;max_energy;4.290322580645161;2.795884573258448;7.816970546984573;4.0;1;13
17;max_hitpoints;30.043010752688172;10.768224166797646;115.95465170640485;30.0;16;61
18;monster_level;0.021505376344086023;0.20739033894608505;0.04301075268817204;0.0;0;2
19;prop_mask;47.913978494623656;89.43101007674777;7997.905563347361;0.0;0;384
20;score;250.23655913978496;159.17036250846218;25335.20430107526;218.0;0;912
21;strength;18.870967741935484;2.4988075697594714;6.244039270687235;19.0;14;26
22;strength_percentage;17.956989247311828;1.4439828562048644;2.085086489013558;19.0;14;19
23;time;1306.4086021505377;924.166207484148;854083.1790556334;1075.0;2;5482
24;wisdom;8.924731182795698;1.3041452234733555;1.7007947639083683;9.0;6;12
25;x;70.13978494623656;9.827414403915848;96.57807386629267;73.0;15;77
26;y;17.817204301075268;1.7812198834014787;3.1727442730247777;18.0;7;20
