;stat;mean;std;var;median;min;max
0;alignment;0.85;0.3663475485325232;0.13421052631578945;1.0;0;1
1;armor_class;6.0;0.0;0.0;6.0;6;6
2;carrying_capacity;0.45;0.6863327411532597;0.47105263157894733;0.0;0;2
3;charisma;9.0;1.1239029738980326;1.263157894736842;9.0;7;12
4;constitution;17.45;1.9049796241485246;3.6289473684210543;18.0;14;20
5;depth;2.6;1.3917047478769187;1.9368421052631577;2.5;1;6
6;dexterity;12.7;2.2964503501112996;5.273684210526311;13.0;10;18
7;dungeon_number;0.5;0.8885233166386386;0.7894736842105263;0.0;0;2
8;energy;4.2;3.27028085064651;10.694736842105263;3.0;1;12
9;experience_level;2.4;1.2311740225021848;1.5157894736842104;2.5;1;4
10;experience_points;46.9;40.48898485683288;1639.3578947368421;39.0;0;127
11;gold;17.05;12.3180441031162;151.7342105263158;15.5;0;47
12;hitpoints;31.15;13.063710281378315;170.6605263157895;30.5;16;66
13;hunger_state;2.05;1.2763022245616642;1.6289473684210527;2.0;1;5
14;intelligence;8.75;1.860248992954834;3.460526315789474;8.0;7;14
15;level_number;2.3;1.1285761872936695;1.273684210526316;2.0;1;5
16;max_energy;4.2;3.27028085064651;10.694736842105263;3.0;1;12
17;max_hitpoints;31.9;12.989469419089977;168.72631578947372;31.0;16;66
18;monster_level;0.6;2.6832815729997477;7.2;0.0;0;12
19;prop_mask;146.0;456.6228433320344;208504.4210526316;0.0;0;2048
20;score;284.85;222.1026967299966;49329.607894736844;231.0;0;776
21;strength;23.4;22.35455917233605;499.72631578947374;19.0;15;118
22;strength_percentage;18.05;1.5035046776746237;2.260526315789474;19.0;15;21
23;time;1292.1;942.7429688219149;888764.3052631582;1166.0;5;3678
24;wisdom;9.35;1.496487114615601;2.2394736842105267;9.0;7;12
25;x;66.85;14.629728205555326;214.02894736842103;73.5;15;77
26;y;17.15;2.4978938496682614;6.239473684210527;18.0;8;19
